taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2484428	Curaeus forbesi (P.L.Sclater, 1886)	2484428	Curaeus forbesi (P.L.Sclater, 1886)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Curaeus	2484423	Curaeus forbesi	2484428	VU
2488518	Piranga rubriceps G.R.Gray, 1844	2488518	Piranga rubriceps G.R.Gray, 1844	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Piranga	2488483	Piranga rubriceps	2488518	LC
2491328	Sporophila hypoxantha Cabanis, 1851	2491328	Sporophila hypoxantha Cabanis, 1851	251	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Sporophila	2491308	Sporophila hypoxantha	2491328	LC
4994793	Cyclocephala melanocephala (Fabricius, 1775)	4994793	Cyclocephala melanocephala (Fabricius, 1775)	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Cyclocephala	8329673	Cyclocephala melanocephala	4994793	NE
4997987	Eurysternus jessopi (Martinez, 1988)	4997987	Eurysternus jessopi (Martinez, 1988)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Eurysternus	11042217	Eurysternus jessopi	4997987	NE
5015891	Compsus lacteus (Fabricius, 1781)	5015891	Compsus lacteus (Fabricius, 1781)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Curculionidae	4239	Compsus	1206526	Compsus lacteus	5015891	NE
5034251	Camponotus geayi Santschi, 1922	5034251	Camponotus geayi Santschi, 1922	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Camponotus	1312361	Camponotus geayi	5034251	NE
5158126	Phrictus diadema (Linnaeus, 1767)	5158126	Phrictus diadema (Linnaeus, 1767)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Fulgoridae	8585	Phrictus	2066096	Phrictus diadema	5158126	NE
5204470	Astyanax chapadae Fowler, 1906	2353817	Knodus chapadae (Fowler, 1906)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44			Characiformes	537	Characidae	7201	Knodus	2353814	Knodus chapadae	2353817	LC
5212808	Gymnotus paraguensis Albert & Crampton, 2003	5212808	Gymnotus paraguensis Albert & Crampton, 2003	71	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Gymnotiformes	1165	Gymnotidae	3712	Gymnotus	2346530	Gymnotus paraguensis	5212808	NE
5228716	Picumnus varzeae E.Snethlage, 1912	5228716	Picumnus varzeae E.Snethlage, 1912	208	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Picumnus	2477643	Picumnus varzeae	5228716	EN
5230532	Lepidothrix coronata exquisita (Hellmayr, 1905)	5230532	Lepidothrix coronata exquisita (Hellmayr, 1905)	4	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pipridae	5270	Lepidothrix	7237126	Lepidothrix coronata	5230528	
5961390	Ancistrus macrophthalmus (Pellegrin, 1912)	5961390	Ancistrus macrophthalmus (Pellegrin, 1912)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Siluriformes	708	Loricariidae	5158	Ancistrus	2339294	Ancistrus macrophthalmus	5961390	NE
5961696	Seriola dumerili (Risso, 1810)	5961696	Seriola dumerili (Risso, 1810)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Carangidae	4253	Seriola	3235319	Seriola dumerili	5961696	LC
6090661	Campylorhynchus fasciatus pallescens Lafresnaye, 1846	6090661	Campylorhynchus fasciatus pallescens Lafresnaye, 1846	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Troglodytidae	9355	Campylorhynchus	2493929	Campylorhynchus fasciatus	5231471	
